PuzzleId,FEN,Moves,Rating
aFJnq,r6k/p4N1p/1p4P1/8/3qP3/7Q/6PP/3q1R1K b - - 1 32,h8g7 h3h6 g7g8 g6h7,2369
aFssW,2kr4/pp3R2/2n5/3p3p/3P2p1/1QPq4/PP1p2KN/8 b - - 1 30,d2d1q b3b7,717
aG0C6,1Q6/6pk/3p2rp/4p3/4P3/P4n1q/4QPRP/6RK w - - 3 34,b8b7 h3h2 g2h2 g6g1,1509
aGWOF,8/2p2ppk/2Q4p/4P3/4pP2/2P2q2/1P1Q1B2/4K2r w - - 3 36,f2g1 h1g1,798
aH2CI,2Q5/5pk1/5b2/5rp1/1PQ1R2p/8/3p1qPP/4R2K w - - 1 43,e1d1 h4h3 c4f7 g7f7 c8d7 f7g6,2023
aID7o,8/1kp3P1/1p6/5Q2/8/p4P1K/8/3q4 w - - 1 47,g7g8q d1h1 h3g3 h1g1 g3f4 g1g8,1167
aISbv,8/1R2Qp1k/6p1/4P1Kp/p7/3Q3P/6P1/2q4r w - - 2 42,g5h4 c1f4 g2g4 f4g4,2012
aIa1L,6k1/4Q1pp/5nq1/2P5/2B5/5K2/5P2/1q6 b - - 1 41,g8h8 e7f8 f6g8 f8g8,1063
aIelb,8/KP6/n2q4/7p/7k/1Q6/8/8 w - - 4 62,b7b8q d6b8 b3b8 a6b8,1669
aJ6t7,8/3P3p/6pk/2pQ4/2P4r/2q4B/5bP1/3R3K w - - 1 44,d7d8q h4h3 g2h3 c3h3,1043
aJQYA,B1Q2nk1/pQ1b1ppp/1p6/4q3/2PN2n1/P1P5/6PP/2R3K1 w - - 1 27,b7d7 e5e3 g1f1 g4h2,1937
aJpXx,r3q1k1/5Npp/2n3n1/2p5/4P3/1QPP3P/pp4P1/1R3RK1 b - - 3 32,a2a1q f7d6 c5c4 b3c4,2013
aKSMJ,r2r1N2/7k/p2p3p/4pPQ1/4P3/1Bq5/P5K1/1q1R4 b - - 1 39,d8f8 g5g6 h7h8 g6h6,1312
aLwa7,6Q1/p6p/5p2/4pk2/P7/5P2/2p3K1/4q3 b - - 4 46,c2c1q g8g4,1057
aLywQ,3Q4/4Prkp/p1q2pp1/1p6/6Pn/B6P/PP3P2/3R2K1 w - - 3 30,e7e8q c6g2,1033
aM1u7,5k2/5p1R/3P1p2/1p3N2/3P4/4PP1P/3K4/qq6 b - - 1 39,b1b3 h7h8,597
aM7CV,4R3/5p1k/p4P1p/4B1p1/5P2/nP5P/P1p2PK1/4qB2 b - - 6 33,c2c1q f1d3 e1e4 d3e4,945
aMbR2,5rr1/pppknQPp/8/b2q4/2pp4/2P5/P4PPP/RNB3K1 w - - 0 18,g7f8q d5g2,1031
aMpYX,8/3bbkp1/8/2p5/4Q3/2P2P2/1P4Q1/2q3K1 w - - 4 44,g1h2 e7d6 f3f4 d6f4 e4f4 c1f4,1382
aMrwI,kr6/p2QP3/1qp3p1/2N1Pp1p/8/2P5/PP3nPP/1K6 w - - 2 32,e7e8q b6b2,944
aMsqj,4N3/pp1Q2pk/7p/8/8/7P/P2p2PK/4q3 b - - 5 43,d2d1q d7g7,803
aN0wR,4Q1k1/4p1b1/3pP2p/3q3P/p3R3/P5P1/5PK1/1q6 b - - 7 52,g7f8 e8f7 g8h8 f7f8,1586
aN8LX,2r5/4P1kp/2bP2p1/2P3Q1/p7/2R1R1KP/6P1/q5r1 w - - 13 47,e7e8q g1g2 g3h4 c8e8 e3e7 g7g8 e7e8 c6e8 d6d7 a1e1,2110
aNzDE,r4r1k/p2BQ1pp/4N3/8/5B2/2P3P1/PP1p3P/q4NKb b - - 1 23,d2d1q e7g7,981
aNzm5,4Q3/p1kr2p1/1pq2p2/7P/2P1R1Q1/6PK/r7/8 w - - 2 42,e4e7 c6h1,1300
aOJrl,8/1P3ppk/N1p4p/3p4/1RnQ4/5P2/5KPq/4r3 w - - 0 44,b7b8q h2g1 f2g3 g1d4,989
aOLnX,r4r2/1pb3Pk/p6P/8/4p2q/PQ6/1P3P1P/R1B2R1K w - - 1 27,g7f8q h4h2,749
aOQkm,8/5Qpk/1r4rp/5Q2/P3pP2/4P3/3q2PP/2R3RK w - - 3 32,c1c8 d2g2 g1g2 b6b1 c8c1 b1c1 g2g1 c1g1,1161
aPCFP,2r1r2k/1b1Q2pp/8/1p6/1P1BP3/3P3P/qq3PP1/5RK1 b - - 3 33,b2e2 d7g7,862
aPN9r,4Q3/3P4/7r/6p1/2P2pk1/p7/PbP2P2/1K6 w - - 3 38,d7d8q h6h1 e8e1 h1e1 d8d1 e1d1,711
aQIka,Q4b2/1Q3pk1/3p4/2pP4/1pP2K2/1P6/8/5q2 w - - 11 60,f4e3 f8e7 b7e7 f1e1 e3f4 e1e7,2168
aQN3t,Q7/5pk1/3p2p1/1Q1Pq2n/4P3/1P1B2PP/7K/8 w - - 1 40,a8e8 e5g3 h2h1 g3f2 e8f7 g7f7 b5d7 f7g8 d7d6 h5g3 d6g3 f2g3,2217
aQgDp,Q3r2k/p5pp/8/2pQ4/2PpP3/6nP/1P4P1/R3nqBK w - - 3 29,h1h2 f1g2,1406
aRGR1,8/2QQ4/p7/2p1p3/2n5/1k4PP/1p3q2/7K w - - 2 56,c7b7 b3c3 d7d1 c4d2,1753
aSf8S,7r/5Q1p/6p1/6kn/3P4/2qB3P/1p5K/q2R2R1 b - - 1 39,g5h6 g1g6 h7g6 f7g6,1351
aSqvb,8/3P1pk1/1Q2p3/8/Pp2Pq2/1Pn4P/5PP1/5K2 w - - 3 39,d7d8q f4c1 d8d1 c1d1,750
aSvMr,6r1/2RP1Qpk/p4p1p/1p2p3/1P1nP3/7P/P4qPK/8 w - - 0 41,d7d8q d4f3 h2h1 f2e1,1159
aTngr,1k3r2/8/3Q3p/2PpP2P/1q1P4/8/1pB2PP1/q2R2K1 b - - 1 43,b8b7 c5c6 b7a8 d6b4,1866
aUMqO,3R3Q/ppk2p1N/4p3/nq1pP3/3P4/b7/B3NPP1/2rQ1K2 w - - 3 30,h8e8 c1d1,944
aVEWa,1Q6/P1P2pk1/5p2/8/7p/5b2/2r2P2/6K1 w - - 3 40,a7a8q c2c1 g1h2 c1h1,687
aVQfl,7Q/8/3r1k2/2p5/2P5/4qPP1/PP4KP/3q1R2 b - - 7 41,f6e6 h8e8 e6f6 e8e3,1118
aVylS,1Q6/5ppk/4p2p/5b2/1Qp2P2/P3P3/2q3PP/4R1K1 w - - 0 32,b8f8 f5e4 f8g7 h7g7 b4c3 c2c3,1376
aWEtR,r1b1k2r/pppqR1pp/3p4/6Q1/8/5N2/P1P2PPP/1q2R1K1 b - - 0 15,e8f8 g5g7,1444
aWhAs,r4rk1/p2npp1p/b2p2pQ/q1pP2PN/4P3/5P2/Pp3K2/R4BNR b - - 1 18,b2a1q h6h7 g8h7 h5f6 h7g7 h1h7,2179
aWhgA,r4q2/pp1k1p1P/4pQ2/1b1pP1B1/n1pn4/5P1N/P1P2KP1/R7 w - - 1 29,h7h8q f8h8 f6e7 d7c8,1997
aWxS4,4Q3/6pk/6pp/8/5P2/1p2R1P1/1qp3KP/4Q3 w - - 2 41,e3c3 c2c1q g2h3 b2c3,1920
aXDRw,6k1/6p1/5pQp/3N4/1p6/q7/2p2KPP/8 b - - 1 48,c2c1q d5f6 g8h8 g6e8,1695
aXX0J,5k2/p4p1p/8/8/8/1B3QP1/P2p1PKP/2q1r3 b - - 20 41,d2d1q f3f7,1222
aXf3T,8/7P/8/k2Q4/8/6P1/5PK1/qq6 b - - 9 43,a5a6 d5a8 a6b6 a8b8,1949
aXw9V,6Bk/3P2pp/p5rq/7b/1p6/5Pp1/PP3Q1P/R4R1K w - - 0 35,d7d8q h5f3 f2g2 h6h2,2121
aXwVu,8/5r2/1R5p/6pk/2pQ4/6P1/1p3PK1/4q3 b - - 3 39,b2b1q g3g4 h5h4 b6h6,1529
aYR8u,8/5K1k/6Pp/8/8/8/4q2n/1q6 b - - 0 46,h7h8 g6g7 h8h7 g7g8q,584
aYdqx,3Q4/1B4pk/2P2p1p/1p2p3/1P2b3/5Q2/r1q3PP/3R2K1 w - - 1 37,f3g4 c2f2 g1h1 e4g2 g4g2 f2g2,1783
aYhgV,Q1k4r/1p3p2/8/2PpR2p/1Pq4P/P5P1/5PK1/3q4 b - - 1 28,c8c7 e5e7 c7c6 a8b7,1354
aYice,2Q5/1Q1rk1pp/1p2p3/8/4p1P1/2PrPp1q/5P1P/6RK w - - 1 37,b7b6 h3g2 g1g2 d3d1 g2g1 d1g1 h1g1 d7d1,1957
aZV31,2k5/1p6/p1p1p3/P1P5/3P4/4KR2/1P4qp/5R2 b - - 0 48,h2h1q f3f8 c8c7 f1f7,1255
aZWoh,8/1Q6/2pB4/b2q4/k5P1/4nP1K/P2p4/1R6 b - - 5 49,d2d1q b1b4 a4a3 b4b3 a3a2 b3a3,2086
aZgSb,1R6/P4q2/1Q5p/4pp1k/3PpP2/4r1pP/6P1/5K2 w - - 0 47,a7a8q f7c4 f1g1 e3e1,937
aa9pO,6r1/pp3prk/5Q1q/4N3/8/P4Q2/1PP4p/3RR1K1 w - - 0 33,g1h1 g7g1 e1g1 h2g1q,1490
aaDin,8/8/3Q2p1/1p3b2/pN1Q2r1/P6r/1P1K2k1/8 w - - 9 60,b4d3 g4d4 d6d4 h3d3 d4d3 f5d3,1516
aaDkx,Q7/2P2p1k/p6p/1pq2p2/7P/6P1/P2r1P1K/8 w - - 3 33,c7c8q c5f2 a8g2 f2g2,929
aaQ5S,8/7p/5p1k/p4Qp1/8/4P1P1/q1p2PKP/8 b - - 0 35,c2c1q f5f6 h6h5 g3g4 h5g4 f6f3 g4h4 f3h3,1762
aafvK,8/pP4kp/n2p2p1/3Qbn2/1PP1N1q1/P3B3/4N3/5K2 w - - 4 26,b7b8q f5e3 f1f2 e3d5,1548
aapkD,8/pk2PK2/1pp5/1q3QP1/8/1P6/8/8 w - - 4 45,e7e8q b5f5 f7g8 f5g5,1144
aarKE,4r1k1/p2Q1p2/1p4b1/4P2p/2P4P/6P1/P3pqBK/2RR4 b - - 3 32,e2d1q d7e8 g8g7 c1d1 g6e4 d1g1,1640
abAes,r4rk1/1pp1q1n1/5RBQ/4P3/8/2PP2PP/2P3K1/q7 b - - 0 27,f8f6 h6h7 g8f8 h7h8,811
abF0u,1rr3k1/PP6/3p2p1/4p3/2N1Pn2/2Q2Pqp/R5P1/1R5K w - - 0 40,a7b8q h3g2 a2g2 g3g2,1530
abh7t,r5kr/1p1bb1p1/1qn1p1Qp/3pP3/3P3N/2PBP3/p2N2PP/5RK1 b - - 3 21,a2a1q g6f7,1188
acYvg,1Q6/B5kp/3p3r/4q1p1/6P1/1B2p1P1/1P2NbK1/R2Q4 w - - 1 32,b8d6 e5e4 g2f1 h6h1 e2g1 e3e2 f1f2 e2e1q d1e1 h1h2 f2f1 e4g2,2647
accFS,1k5r/pp3pp1/4p1p1/4P3/8/1R3QP1/1qp2PKP/8 b - - 1 29,c2c1q f3b7,1007
acmBy,r2qr2b/1p3P1k/2p4P/p4b2/5Q2/1Bp1n3/PPP5/2K3RR w - - 1 31,f7e8q d8d2 c1b1 f5c2 b3c2 d2c2 b1a1 c2b2,1948
acqmw,8/2QP3p/p4pk1/3b4/Pp6/1P4PP/4q1BK/8 w - - 1 33,d7d8q e2g2,848
ad8WD,8/5P2/7k/1p3Q2/pP6/P3K3/3p3q/8 b - - 1 58,d2d1q f7f8q,1207
adSBg,8/7P/8/1Q6/5P2/1k6/6PK/1qq5 b - - 2 49,b3c2 b5f5 c2b3 f5b1 c1b1 h7h8q,2569
ae2FO,5Q2/1q1P4/6k1/p6p/8/6PK/8/8 w - - 5 74,d7d8q b7h1,811
ae3qc,3Q1r2/1RP4k/p5p1/8/P5Q1/8/8/5q1K w - - 2 42,g4g1 f1h3 g1h2 f8f1,1419
aekEQ,8/1q2kpQ1/3b2p1/3p2N1/3P4/6P1/1p3PKP/8 b - - 0 46,b2b1q g7f7 e7d8 g5e6 d8c8 f7e8,1277
af5n2,r4rk1/2P4p/1p2P1p1/1Pb1Qpq1/2P5/3B1R1P/p5P1/5R1K b - - 0 36,a2a1q f1a1 a8a1 e5a1,1728
afUPF,1kr3Q1/1pp2Q1R/p1n5/8/8/P1P5/1KP3q1/4q3 b - - 0 35,c8g8 f7c7 b8a7 c7b7,1083
afexV,r3qr1k/1P5p/3R1pp1/2PQn3/8/7P/5PPK/8 w - - 1 43,b7a8q e8a8 d5a8 f8a8,978
aftC4,5rk1/p1P2pp1/4pnb1/3p4/Qb2q1p1/4B2P/P3BP2/2R2RK1 w - - 0 27,c7c8q g4h3 f2f3 e4e3,1630
afvl7,8/6p1/2Q4p/4k2P/8/4P1PK/2pq1P2/8 b - - 10 49,c2c1q f2f4 e5f5 e3e4,1334
agOYS,5bk1/2Q4p/p4Bp1/8/P7/5pN1/3p1q1P/6RK b - - 0 35,d2d1q c7c4 d1d5 c4d5,1488
ah0Pc,2Q5/pp1P1pkp/5q2/5pp1/1b3B2/4Pp1K/6rP/7R w - - 0 28,d7d8q g5g4,799
ah8wk,3R4/5kp1/4p2p/1P6/2P5/5Q1P/6PK/q3q3 b - - 5 45,f7e7 f3f8,1360
ahAIH,1r1Q4/4Q2p/5pk1/1pP1p3/5q2/5pPr/1R5K/1R6 w - - 0 44,h2h3 f4h6 h3g4 h6h5,1594
ahHjE,Q7/4Nppk/6np/8/8/6P1/1p6/5qbK b - - 3 52,b2b1q a8g8,880
ahXdv,1kr2b2/1p1npp2/5n2/1N3P2/3P4/R5B1/PPPK4/5q1q b - - 1 31,e7e5 f5e6 f1f4 g3f4 d7e5 f4e5 f8d6 e5d6 c8c7 d6c7 b8c8 a3a8,2158
aidfX,1Q6/Q1p2kp1/3p4/3Pp3/1P2np2/P4q2/3KN2r/2N5 w - - 0 43,d2c2 f3c3 c2b1 e4d2 b1a2 c3c2 a2a1 c2b1,2083
aingo,8/pkp3p1/2P5/5Q2/1K1P4/3qP3/PP6/5q2 b - - 0 36,b7b6 f5c5 b6a6 c5a5,1510
ajZl4,1R4k1/5rpp/8/p7/1n3P2/1R2Q1P1/2r2PKP/q2q4 b - - 1 32,f7f8 e3e6 g8h8 b8f8,1076
ajabv,3k4/1p4Q1/3b4/2p1p3/1q1pP3/1P1P2P1/4BP1P/rqB2KRR b - - 0 34,b1c1 f1g2 c1g1 h1g1 a1g1 g2g1,866
ajwrG,8/2P1rk1p/QR6/3b1q2/P2Pp1pP/6P1/5PK1/8 w - - 1 43,c7c8q e4e3 f2f3 f5f3 g2h2 f3h1,1587
ak6Xv,8/3q4/b1p1pQkp/p3B1p1/P2P4/4P2P/6PK/1q6 b - - 3 38,g6h5 g2g4 h5h4 f6h6,1085
akKaa,5Q2/7k/3p2q1/3b3p/P2P1RP1/6Q1/1r6/4K3 w - - 1 45,g3e3 g6b1 e3c1 b1c1,1035
akMKn,1kr5/1pr2p1P/4p1p1/Q1np4/6P1/P4N2/1Pq5/K4R1R w - - 1 30,h7h8q c5b3 a1a2 b3a5,1159
akNjq,Q7/6pk/1Q4p1/3p4/3P4/8/KPq2P2/7q w - - 1 44,a8a3 h1b1,1145
akaqW,r1b2r1q/1p3pkN/2p1p3/6NQ/5P2/3P3P/p7/6RK b - - 1 31,a2a1q g5e6,1450
akoIt,r2q4/pp4pk/2n1Q2B/8/8/5P2/Pp4K1/7R b - - 0 27,b2b1q h6c1 d8h4 h1h4,2007
alAXL,4r1k1/1P3pb1/7p/p7/P3qP2/4B3/3r1P1P/1R2QK2 w - - 0 34,b7b8q e4h1,1208
amFAN,K3Q3/5P1p/kpp5/8/5q2/8/p6P/8 w - - 0 63,f7f8q f4f8 e8f8 a2a1q,1451
amIDn,5rk1/p1pP2r1/1pP5/3Np2q/4Ppb1/P7/5QP1/1RR2K2 w - - 9 32,d7d8q h5h1 f2g1 h1g1 f1g1 f8d8,1945
amfsw,2Q5/6k1/Q2R1b1r/5p1b/1P6/P4KPp/4r2P/8 w - - 1 43,f3f4 e2e4 f4f5 h5g6,2026
ammZ7,r1b2k1r/1p3p1P/1qn1pNB1/3pP1Q1/3P3P/2P5/5P2/qN3RK1 b - - 0 26,f7g6 g5g6 f8e7 g6g7 e7d8 g7h8 d8c7 h8g7,2407
anPwv,8/6k1/1p3r2/8/6q1/6p1/PQQ5/6K1 w - - 0 45,c2g2 g4d1 g2f1 d1f1,1117
aouhc,4B3/4Q1pp/4p2k/p1n5/Pp4KP/1P3PP1/8/2q2q2 b - - 4 39,f1d3 e7g5 c1g5 h4g5,910
apNDQ,8/PQ3ppk/2p3r1/1p1b2n1/1P1Pp1q1/4P1p1/5PPP/2R2R1K w - - 0 42,a7a8q g6h6 a8g8 h7g8 b7b8 g8h7,2288
apTbn,r1q3k1/6pQ/3Rp1B1/3pP1P1/5P1K/4P3/8/q7 b - - 1 46,g8f8 h7h8 f8e7 h8g7,1276
apdQa,4B1k1/1pr2pp1/3p2P1/p2Pp3/P2qP3/1q1P1Q2/5P2/5RK1 b - - 0 32,f7f6 e8b5 b3d5 e4d5,2688
app0j,3Rr2k/4PQbp/2b3p1/1q6/1P3P2/7P/2pp2P1/6RK b - - 1 38,d2d1q d8e8 c6e8 f7f8 g7f8 e7f8q,1831
aqyq2,7k/rr3pp1/2q1p2p/4B2Q/2qP4/6PP/5P1K/4R3 b - - 3 40,c4d5 h5h6 h8g8 h6g7,1344
arCh0,5r2/p2P2k1/8/4p3/7Q/2P2q2/P5pP/3R2K1 w - - 3 36,d7d8q f3f1 d1f1 g2f1q,1681
arJRt,Q7/2q2p1k/6pp/2r5/8/4R2P/5PP1/1Q4K1 w - - 2 35,b1b8 c5c1 e3e1 c1e1,855
as6Dd,8/7k/1p4p1/p2q3p/P2b4/6QP/1P2QK2/8 w - - 9 40,f2f1 d5h1 g3g1 h1g1,1210
as7mM,4K2k/1Q6/3qpp2/2b3p1/8/8/7p/7Q w - - 2 73,b7d7 d6f8,1258
asVI8,Q7/1pk1P1p1/8/2P5/p7/P1r3Pp/5P1P/2R3K1 w - - 2 38,e7e8q c3c1 e8e1 c1e1,402
askEV,2Q5/1P3rk1/8/3p1p2/3bp3/4q2P/6Pp/1R5K w - - 2 42,b7b8q e3g1 b1g1 h2g1q,1252
astfn,1Q6/2P1k1p1/3pp2q/3bN3/5P2/1P4P1/2B2K2/r7 w - - 1 33,c7c8q h6h2 f2e3 a1e1 e3d3 h2g3 e5f3 g3f3 d3d2 f3e3,2365
atv1S,1QQ5/2K5/4pk2/2q2p2/6p1/8/8/8 w - - 4 68,c7d8 c5e7,1145
atyp9,5rk1/6pR/2p3p1/1p6/6Q1/3P4/rqP3RK/5q2 b - - 0 28,b2c2 h7g7 g8h8 g7h7 h8h7 g4g6 h7h8 g6g7,1962
au2rl,1k2r3/1bp5/1P2p3/8/R4P2/Q2P4/KP5p/6q1 b - - 0 43,h2h1q a4a8 b7a8 a3a7 b8c8 a7c7,1548
auIyn,1Q6/Q4ppk/2b4p/8/7N/6P1/2np1P1P/4rRK1 w - - 3 35,b8b3 e1f1 g1f1 d2d1q,1443
auM6i,Q7/1P4k1/5p2/5Ppp/2r5/P7/1r4P1/5K2 w - - 5 51,b7b8q c4c1,912
autG5,r4r2/ppn4k/3p2pp/2pP4/2Pq1p2/P7/1PQ3RK/5q2 b - - 1 39,f4f3 c2g6 h7h8 g6h6,1413
auzAJ,1r4k1/1b2Q1pp/p7/1p6/2n4P/6P1/PP2pR1K/3q4 b - - 3 42,e2e1q e7f7 g8h8 f7f8 b8f8 f2f8,1226
av88m,3r4/p1P2p1k/5pq1/8/P3p2p/4P3/1Q3PbP/2R2BK1 w - - 0 28,c7d8q g2f3 f1g2 g6g2,1324
avAgt,5Q2/2K5/8/6R1/2p5/2P5/1P6/3q1kq1 b - - 1 60,g1f2 g5f5 f2f5 f8f5,1503
avGRC,7r/3P1pk1/Q3p1p1/8/P3B1q1/7r/5P2/3RRK2 w - - 1 35,d7d8q h3h1 e4h1 h8h1,1261
avPMF,6k1/1P3p2/3p3p/3Pp3/1q2PpP1/2p2K1P/2Q2P2/8 w - - 0 41,b7b8q b4b8 c2c3 b8b1 f3g2 b1e4,2164
avd5C,8/2P2p1k/b3p1pp/4P3/5P1P/5q2/4N3/2Q1K1R1 w - - 5 50,c7c8q f3e2,920
avqsq,8/1Qb2pk1/1p4p1/1Pp5/3p4/3P2q1/Q5Br/3RR1K1 w - - 0 36,e1e7 h2h1 g1h1 g3h2,1580
aw8Zn,Q7/5ppk/3Qp3/3pPqp1/8/5Pr1/P1r2RP1/R5K1 w - - 3 33,f2c2 f5c2 a8h8 h7h8 d6b8 h8h7 b8b1 g3g2,1901
awqIR,2nr3k/3b1p1P/p2pp3/2p5/2B1P3/2qP2Q1/prPN4/2RK2R1 b - - 3 31,a2a1q g3g8 d8g8 h7g8q,1713
ax9N2,r3r2k/1P2Nppp/6b1/P2Bb3/5q2/1Q5P/4RPP1/3R2K1 w - - 3 36,b7a8q f4h2 g1f1 h2h1,1389
axnXL,8/QP3pk1/5n2/7p/4p3/P3P1pP/3q1PP1/5BK1 w - - 0 32,b7b8q d2f2 g1h1 f2f1,992
axxB3,8/5p1p/5Q2/6pk/7P/8/p4PK1/3q4 b - - 4 47,a2a1q f6g5,1086
ayXT5,Q7/5p1k/4p1p1/4P1Pp/1P1PQn1P/5N1q/5P1K/8 w - - 1 42,h2g1 h3g2,892
ayyaZ,r4rk1/1b3Rpp/p3p3/1p5Q/4q3/P1P5/1P3RPP/2q2NK1 b - - 0 25,f8f7 h5f7 g8h8 f7f8 a8f8 f2f8,927
b0nL6,4K3/4p1kp/6p1/3P2P1/8/3P4/pq6/4Q3 b - - 1 48,a2a1q e1e7 g7h8 e7f8,1315
b1s7H,Q4rk1/8/3Qp3/1B1p1b2/3P2p1/2P3P1/1r1q1p2/R4RK1 w - - 0 36,g1g2 f5e4 g2h2 d2h6,1203
b1zJO,4Q3/p1P3p1/7k/4nP2/P3pq2/3p3p/1PP2PP1/R4RK1 w - - 0 26,c7c8q e5f3 g2f3 f4g5 g1h1 g5g2,1655
b2C7a,8/p1rP2k1/1p3pp1/7p/3P4/5Q2/PP3PPP/6K1 w - - 0 33,d7d8q c7c1 f3d1 c1d1,570
b2IvO,8/5Qpk/p1P2pp1/1p4q1/2n5/5QK1/P1P3PP/8 w - - 7 36,f3g4 g5g4 g3g4 c4e5 g4f4 e5f7 f4e4 f7d6,1842
b2LJz,r4r1k/1RR3p1/7p/3p4/3q4/7P/6P1/qB2Q2K b - - 1 34,a1c3 c7c3 a8e8 e1c1,2091
b2Zeu,k2r4/pR3p2/Q1p3p1/2q5/7P/PR6/KP3p2/4r3 b - - 3 33,f2f1q b7a7 c5a7 a6c6 a7b7 c6b7,1674
b2meG,1r4k1/1P2R1p1/7p/4P3/3P4/2q4P/2P2QPK/q7 b - - 1 34,a1a3 f2f7 g8h8 f7g7,1026
b2yFm,3rRbk1/2qn2p1/p5Qp/2p2p1N/2P2P2/1P6/PB4PP/3q1RK1 w - - 0 26,e8f8 d7f8 h5f6 g8h8 g6h6 g7h6,1681
b3CD3,Q2Q4/6kp/5pp1/1p6/3p1P2/P2q3r/1Pr2P1K/R4R2 w - - 2 35,h2g2 d3g3,1726
b3IA0,5r1k/P1p3p1/3p3p/2pQp3/4pq2/R1PP4/1r3PPP/5RK1 w - - 0 29,a7a8q f4f2 f1f2 b2b1 f2f1 b1f1,1452
b3uhS,r6k/5Q2/2p3N1/3p4/q2P4/2P1P3/2b3r1/q1R1KR2 b - - 3 37,g2g6 f1h1 g6h6 h1h6 c2h7 h6h7,1151
b3wwz,4r1k1/1P4pp/3Bqpb1/1KP5/Q1P4P/6P1/1P6/8 w - - 7 47,b7b8q e8b8 d6b8 g6e8 b5a5 e8a4,1789
b45rE,1Q6/PN1q1p2/1pk1b3/1n2p2p/4P1p1/2Pr4/1P3PPP/R5K1 w - - 3 32,a7a8q d3d1 a1d1 d7d1,1223
b4NiS,5rk1/5p2/2r1p1p1/p3P1QP/2p2P2/6R1/P2q2PK/2q5 b - - 0 34,g8g7 g5f6 g7g8 h5h6 d2g2 g3g2 c1f4 f6f4,2184
b4dhN,4Q3/r1p2ppk/3p4/1p1P1B2/5P1p/7P/1q4PB/q4RK1 b - - 1 34,h7h6 e8h8,704
b5Zb4,6k1/4b1p1/6Pp/1P2pQ2/p1rqP3/P7/K1pp1P2/R5R1 b - - 3 42,c2c1q f5f7 g8h8 f7e8 e7f8 e8f8,1383
b5fNE,8/p2P1pk1/1r3Np1/q3p1P1/2p5/2Pb3r/PP3R2/K3Q1R1 w - - 3 36,d7d8q a5a2 a1a2 b6a6 d8a5 a6a5,1334
b5y62,Q7/2p4k/6pp/3p4/3P4/2P2pq1/4rR2/5QK1 w - - 0 37,f2g2 e2g2 f1g2 g3g2,1763
b6PqX,7Q/1R6/7k/1K6/1P6/8/8/q6q b - - 3 58,h6g5 h8g8 g5f5 b7f7,2507
b6b6L,8/4r1kp/8/8/5QN1/2P4P/pr4PK/3q4 b - - 0 50,a2a1q f4f6 g7g8 g4h6,1371
b6cDU,8/pp3pk1/6p1/3PQ3/8/P3PK1P/3q4/2q5 b - - 1 37,g7h6 e5h8 h6g5 h3h4 g5f5 e3e4,1568
b6d06,2Q2bk1/1Q3bp1/p4p2/4p2p/8/5P2/3q1KPP/8 w - - 0 41,f2g3 d2e1 g3h3 g7g5 b7e4 g5g4 c8g4 h5g4,2034
b6oOR,2Q1K2k/6p1/7q/8/8/8/p7/8 b - - 3 53,a2a1q e8f7 h8h7 c8g8,1106
b70yi,Q6k/6p1/5pKp/8/4Q3/4P2q/7P/2q5 b - - 0 46,c1c8 e4e8 c8e8 a8e8,1083
b7eV1,4rrk1/3P1pb1/2n3p1/1pp2qBP/4p3/1BPP1NK1/1P5Q/R6R w - - 0 29,d7e8q f5f3 g3h4 f3h5,1790
b7fbH,3Q4/5p1k/2B3p1/p3P2p/P5nP/5KP1/3Q4/6q1 w - - 1 51,d2g2 g1e3,1313
b7hnY,5rk1/5p1p/6pQ/p2p4/3P2RR/K1P3P1/P3q1PP/3q4 b - - 4 34,f8e8 g4g6 f7g6 h6h7 g8f8 h4f4,2144
b7ziq,1q6/3k3Q/3b1p2/4NP2/4P3/7P/6PK/1q6 b - - 0 41,d7d8 h7d7,1155
b8Bgy,1Q6/6bk/3p2r1/3Pp2p/4Pp1q/1QNN1Pp1/4B1b1/R5K1 w - - 1 30,g1g2 h4h2 g2f1 h2h1,1838
b8Bir,2r1kb1r/P4ppp/n1p1p1q1/8/Q2P4/2P3B1/P4PPP/R3K1R1 w Qk - 0 18,a7a8q g6e4 e1d2 c8a8 a1e1 e4d5,1775
b8GZi,R6r/1P3pk1/2B1p2q/8/3r4/6P1/1np2PQP/5RK1 b - - 2 26,c2c1q a8h8 c1f1 g2f1,1809
b8iyc,5r1k/P3p3/2Qp1rp1/4p3/4PbBq/5P1P/1PP3K1/3R1RN1 w - - 1 43,a7a8q h4g3 g2h1 g3h2,1256
b9Uda,Q3Q3/8/7p/4Kp2/4bP2/2P2k2/8/4r3 w - - 1 50,a8e4 e1e4 e5d5 e4e8,1265
b9fqH,3r2k1/1R2Qppp/8/2B5/q7/3r1P2/3p2PP/5RK1 b - - 0 27,d2d1q e7f7 g8h8 f7g7,1190
b9ggm,8/1Q6/3p1kp1/2p1p3/4Pq2/1PQKR3/8/4Rr1q w - - 2 43,c3c4 f4e3 d3e3 f1e1,2108
b9izB,2kr2r1/1p5p/5p2/p2N3q/1bP1pB2/1P4P1/P2p1RKP/R7 b - - 1 34,d2d1q d5b6,1543
b9mlc,5rk1/BQPn2bp/6p1/3P3n/1P2p3/5q1P/P3NP1K/4RR2 w - - 0 25,c7c8q g7e5 e2g3 h5g3 c8f8 d7f8,2259
