FEN,Moves
RK3N2/3N2NN/6NR/1k6/4NNNR/3N2NN/5N1N/2R4N,e4c3 e4d6 
N1R1N1N1/N4N2/6N1/3NN1N1/7R/1kN2N2/5N1R/RK4N1,f3d2 f3d4 
1R6/N6R/k4N2/7R/8/8/N7/K6N,a2b4 
7R/8/R7/6k1/R7/8/4NN2/2N2RK1,f2h3 f2e4 
8/2N3N1/8/R6N/6k1/R7/8/2N1NRKR,h5f6 
N3Nk2/NN3N1R/3N3N/5NN1/8/8/4NN2/2N1RKR1,g5e6 g5h7 
5RK1/N1NN4/2N2N2/1N6/R7/6k1/R5N1/7R,f6e4 f6h5 
KRNN4/NN4N1/7N/3N4/7N/2N2N2/7R/kNN2N2,c1b3 
N4KRN/RN3NN1/5k2/1N5R/3N3N/1N1N4/N7/N3RNN1,g7h5 g7e8 
1N2N2N/5N2/R7/7k/R6N/8/8/6RK,e8f6 e8g7 
1N1RKNNN/7N/2N5/1NN3NN/5N1R/4k2N/N6R/1N3RN1,f4g2 f4d5 
6NN/8/4N3/6NR/1Nk1N3/R7/7N/1RKR3N,e4d2 e4d6 
1RNR2N1/8/7R/2k5/1N5R/8/8/2K5,b4d3 b4a6 
2RKR3/NN3NN1/3N1N2/8/4N3/5N2/R7/N2k4,e4f2 e4c3 
7K/1N6/R7/1NN2N1k/R6N/8/2NN4/1N1N2R1,f5g3 f5g7 
2N1K3/8/7R/3Nk3/7R/8/2NN4/3R1R1N,d2f3 d2c4 
2R1R2N/4N2N/3NN3/1N6/R7/3k4/7R/3K1N2,e6f4 e6c5 
3NRKR1/3N4/6NR/5k2/5N1R/N1N5/7N/2N5,g6h4 g6e7 
1N3RN1/R3N3/1N2kN1N/N3N2R/8/N1N1N3/4NN2/N1NRK3,e2d4 e2f4 
RKR1N3/5NNR/1k2N3/5N1R/3N1N2/7N/N7/1N3NN1,f4d5 
6RK/N7/8/3N1N2/R7/7k/R7/8,d5f4 
1N1RKRN1/7R/4kN1N/R7/1NN4N/N1N4N/5N2/NN5N,h3f4 h3g5 
NN3NR1/N1N5/8/7N/R7/3N1kN1/7R/4RK2,d3e1 d3e5 
1N4KR/8/N3N2N/4N3/R7/1N4k1/R5N1/5R2,h6f5 
3RKR2/7N/8/5NN1/8/6N1/R7/4k3,g5f3 
3R1RN1/R7/3NkN2/R7/N1N5/4N1N1/N2N1N2/2N1K1N1,a4c5 
1R3N2/3N1N2/4N3/2N5/7R/k2N4/7R/K3N3,e1c2 
8/5N2/8/7R/1Nk5/R7/7N/1RKR4,f7e5 f7d6 
N2R1R1N/2N4N/7N/R7/3NkN2/R3N3/2N4N/4K3,h7g5 h7f6 
6N1/8/8/N7/7R/3k4/N6R/2RKR3,a2c1 a2b4 
R1R4N/3NN1NN/1N3N1R/1k2N1N1/1N5R/6N1/N5N1/NK5N,a2c3 
5R2/4N3/R7/1N1Nk3/R7/8/N3N3/3RK3,e7c6 e7g6 
4KRN1/3NN2R/4k3/4N2R/1NN5/8/7N/1NNRN3,d7c5 d7f8 
8/8/5N2/8/R3N3/N2k2N1/R7/2RKR1N1,e4f2 e4c5 
1R6/8/N7/2N1N3/7R/k7/6NR/K5NN,e5c4 
2NN1R2/N2N3N/6N1/8/7R/3NkN2/R6N/3RK3,h2f1 h2g4 
1RKR2N1/6NN/R7/2kN1N2/7R/8/2N3N1/8,g7e6 
2KR1N2/6N1/6N1/R7/2k5/7R/8/NR2N2N,g6e5 
2RKN1N1/N1N5/5N1N/NN6/R7/N2k2N1/R1NN3N/NN2R3,c2e1 c2b4 
N1R3N1/4N3/8/3N1NN1/7R/1k2N3/6NR/RK2N2N,f5d4 
4RKR1/8/1N6/8/3N4/2NN4/7R/1N3k2,b1d2 
6NN/3N2N1/8/7R/k7/7R/8/KRN5,d7c5 d7b6 
N5R1/N1N2N1N/N6N/R7/5kN1/R7/N7/NN1NRK1N,c7d5 c7e6 
1N3NR1/1N3N2/4N3/R7/N1N4k/RNN5/5N2/NN1N1N1K,f8g6 
1N3KR1/1N3N2/8/7R/5k2/4N2R/3N4/4RN2,e3g2 e3d5 
1NNRKRN1/6N1/N7/NNN1N1N1/8/7R/4k3/R7,b5c3 b5d4 
k1NN3N/7R/2N4N/8/8/6NN/5N2/KR1NN3,c8b6 
2RKN2N/2N5/8/8/7R/3k1N2/R2N4/1N2R3,f3e1 f3e5 
2RKRN2/4N1N1/8/8/2NN3R/3kN3/7R/5N2,c4b2 c4e5 
R6N/N2N1Nk1/RN6/8/1N1N2N1/3N1N2/N1N1N3/N4RKR,d4f5 d4e6 
2KN3N/3N3N/2NN3N/5N1N/7R/1NkN1N2/R6N/1R1R3N,d6e4 d6b5 
R7/4k3/R7/2N5/2NN4/8/8/3RKR2,d4f5 d4c6 
4N1RK/2N2N2/N2NN1N1/N6N/N4N1N/R7/1N5k/R7,h4f3 
R5N1/3N2k1/R7/3NN3/N3N2N/1N1N4/5NN1/1N2NRKR,h4f5 
1RKR1N2/8/N3NN2/R7/2k5/R7/8/1NN1N1NN,b1d2 b1a3 
1N2R1R1/3N4/N1NN4/R7/2N1NkNN/5N1R/7N/1N3K2,h4g2 h4g6 
1N1KR3/N7/R5N1/3k4/3N3R/N4N2/5N2/N1R5,g6f4 g6e7 
4R1R1/N4N2/3N4/1N2N2R/N4k2/R7/7N/3N1K2,e5d3 e5g6 
6NR/5kN1/7R/7N/8/8/N7/4RKR1,g8h6 
2k5/R7/N5N1/8/7N/5N2/N6N/NRKR4,g6e7 
4RKR1/3N1N2/8/8/8/1N6/7R/5k2,b3d2 
4R2N/R7/5k2/1N5R/8/4N3/N1N3N1/1N2NKR1,e3g4 e3d5 
2NRK2N/R3N3/3Nk3/7R/2N3NN/2N3N1/2N5/5R2,c2d4 
NNRK1N2/8/1NN5/NN4N1/R7/2Nk2N1/3N3R/1N2R3,c6b4 c6e5 
3N3R/8/1N2N3/RN6/N3N1k1/R7/1N6/1N3RK1,e4f2 e4f6 
4RKR1/8/R7/5k2/R7/N6N/4N3/8,e2g3 e2d4 
NR4N1/N7/R2N2N1/2k5/R5N1/8/7N/2KR4,d6e4 d6b7 
1N2RKR1/5N2/2NN3N/NN3N1R/5kN1/N1N4R/8/1N5N,c3e2 c3d5 
1N2K3/8/R7/4k3/R7/1N6/8/3R1R1N,b8c6 b8d7 
1N2RKR1/N7/3N1N1N/RN6/4Nk2/R7/8/5N2,f6d5 f6h5 
R6N/6k1/R7/8/5N2/8/2NN4/5RKR,f4h5 f4e6 
2N4R/5k2/5N1R/N7/8/1N6/1N6/4RKR1,c8d6 
2K4N/7R/1NkN4/2N2NNR/N4N1N/N5N1/1N5N/1R1R1NN1,f5d4 f5e7 
3k4/R7/7N/1N6/6N1/8/6N1/2RKR3,h6f7 
1N1RN3/N5NN/4N3/R1N5/1Nk5/R1N3N1/N6N/NRK1N3,e8d6 
3N4/1N3N1R/1NN2k2/7R/3N3N/3N4/NNN1N3/1NN1RKR1,b6d5 b6d7 
RKR3N1/3N4/4N2R/1k6/7R/3N2NN/8/5N2,e6d4 e6c7 
NN5R/N1N2N2/2N5/8/R5N1/3N2k1/R5N1/N1N2RK1,c1e2 
4R3/R4N2/5k2/N6R/5N2/8/8/3N1KR1,f4d5 f4h5 
4NKR1/8/N2N4/N6N/7R/5k2/5N1R/4RN2,f1d2 f1h2 
1KRNNN2/5N1R/NkN3N1/1N5R/8/3N1N1N/8/R4N2,f8d7 
RK5N/8/7R/1k6/1N5R/7N/1N5N/NNR5,b1a3 b1c3 
N2N1KRN/N6N/7R/4NkNN/R7/7N/5N1N/4R3,h5g3 h5g7 
3R2N1/1N5N/N6R/4kN2/R7/4N2N/8/4KR2,e3c4 e3g4 
2N1N3/1N3N2/8/7R/3k4/3N3R/NN1N1NN1/2RKR2N,d2b3 d2f3 
3KR3/8/6N1/8/R7/3k4/R6N/2R2N2,g6f4 g6e5 
7R/6N1/3N4/R6N/6k1/R7/8/2N2RK1,h5f6 
NN3k2/R7/7N/8/N7/2NN4/7N/4RKRN,b8d7 
KR6/8/2N5/5N2/N2N3R/k4N2/7R/2N2N2,d4c2 d4b5 
K1N5/5N2/8/7R/k7/7R/5N2/1R4N1,c8b6 
1R1R1N2/3NNNN1/4N2N/4NN1N/R7/2k2N1N/6NR/2K5,e7d5 
1N1RK3/2N3N1/6N1/7R/4k3/RN2N3/1N4NN/4NRN1,b3d2 b3c5 
RK2N1NN/1N6/1N1N4/5NNR/Nk2N1N1/7R/8/1NR3N1,b6d5 
2R4N/4N3/6NN/8/7R/1k2NN2/1N5R/RK6,f3d2 f3d4 
4RKR1/N7/8/8/5N2/R7/2N2k2/7R,f4d3 f4h3 
1KR1NNN1/8/3NN3/1N5R/1kN5/1N5R/3N1N2/R7,f2d3 
1R2N2N/5NN1/N7/2N3NN/5N1R/k7/N2NNNNR/K7,d2b1 d2c4 
2RKR1NN/2N4N/2N3N1/3N1N1N/NN4N1/7R/2Nk2N1/6NR,g1f3 
1N1RNRN1/R3N3/4k3/R7/2N3NN/N5N1/1N3N2/N1N1KNN1,e8c7 e8g7 
N1RK4/6NR/3kN3/3N3R/NN3N2/8/N1N4N/3NRNNN,g7f5 g7e8 
3R2N1/8/R5NN/2k5/6NR/N3N2N/N1N1N2N/NRK5,a1b3 
RKR1NN2/8/8/2N4R/1k6/7R/3N2N1/1N5N,c5d3 c5a6 
2N1NKR1/2N2N2/5N1N/7N/R7/4Nk2/1N5R/N3R3,f7e5 f7g5 
N1KR2N1/R6N/2k5/R1N5/7N/8/8/1RN2N2,g8e7 
2N1N3/1NN3N1/R7/NN1NkN1N/R7/6N1/N7/NN1RKR1N,a5c4 a5c6 
4N3/R7/2N2N1k/R7/N7/N4N2/8/N5RK,f6g4 f6g8 
N3K2N/N3N3/8/8/7R/4k3/4N2R/1N1R1R2,e7d5 e7f5 
2KR4/2N5/8/R7/1Nk5/R7/6N1/1R6,g2e3 
KR6/8/8/7R/kN3N2/5N1R/2N2N2/N2N4,d1b2 d1c3 
1R1R2N1/2N4N/4NN1N/R6N/2k2N1N/R5N1/6N1/2K5,g2e3 
2R1RN2/1N3N2/7R/N2k4/N2N3R/5NN1/5N1N/N2K2N1,a4c3 a4b6 
K1N2NNN/3N3N/N6R/k2N2N1/7R/2N2N1N/NN6/1R2N3,b2c4 
6N1/8/6NN/N4N2/R7/4N2k/R7/6RK,g6f4 
1KR1N3/N5N1/8/1N5R/1k5N/1N5R/3N3N/R6N,a7c6 
5N1N/3N4/8/8/R3N3/7k/R2N4/6RK,e4f2 e4g5 
N3K3/2N4N/4N2R/3NkN2/N2NN2R/1NN5/4N3/1N1R1R1N,d4f3 d4c6 
3N1K2/R4N2/N1N1Nk2/NNN4R/8/N2N3N/N1N5/1N2R1RN,c5e4 c5d7 
N6R/1k2N3/N4N1R/3N4/6N1/4N3/6N1/RKR3N1,a6c5 
1RKRN1NN/2N5/3N3N/4N3/N3N3/R6N/1NkN2N1/2N4R,g2e1 g2e3 
1N2K3/7N/8/R7/4k2N/7R/2N5/3R1R2,h7g5 h7f6 
5RKR/1N2N3/RNN5/1N1NN1kN/R7/NN1N4/2N3N1/8,e5f3 e5f7 
5N1N/4N1N1/2N5/7R/2k5/7R/5N2/NRKR4,c6a5 c6e5 
1NR5/3N3R/3k4/7R/N4N2/4N3/2N1N3/1NNKR3,e3c4 e3f5 
N2RKN2/NN6/8/7R/4k3/4N2R/8/N4R2,b7c5 b7d6 
R7/3N2Nk/R2N3N/1N3N2/1N3N2/3N2N1/N2N1N2/2NN2RK,d7f6 d7f8 
3N4/N7/1N6/R6N/1N1N2kN/R5N1/1N6/5RKR,h5f6 
RK6/7R/1kN4N/5N1R/3N1N2/1N6/8/2R3N1,f4d5 
KR1N1N1N/1N6/8/5NN1/8/2N5/3N1N1R/kN1N4,d2b3 
N4KR1/N1N5/5N1R/1N3kN1/NN3N1R/3N4/N4N2/4R1N1,b5d4 b5d6 
3kN3/7R/6N1/NN6/8/5N2/7N/2RKR1NN,a5c6 a5b7 
2RKR2N/3N2N1/5N2/8/2NN4/1N3N2/3N3R/3kN3,c4b2 c4e3 
2RK2N1/R1N5/2Nk2N1/7R/NN3N2/1N1N1N1N/8/1N2RNNN,c7b5 c7e8 
5KR1/3N4/R7/1N3kN1/7R/7N/N7/NN2R3,b5d4 b5d6 
3NN3/7N/2N5/7R/kN1N2N1/4N2R/N1NN4/KRN4N,a2c3 
2N3RK/1N1N4/1N2N3/R7/N6k/R1N5/1NN2N1N/NN6,h2f3 
N2RKR2/6N1/2N3N1/4N2R/4k2N/R4N2/1N5N/N1N1N3,f3d2 f3g5 
3R4/7R/2k4N/R1N5/N7/1NN5/8/1RK5,b3d4 b3a5 
5k2/7R/N7/2N5/8/5N2/8/4RKR1,c5e6 c5d7 
1N2N1K1/R4N2/N2N2k1/R7/4N3/NN2N1N1/1NNN4/3NNR1R,f7e5 f7h8 
2NRKR2/2N3N1/4N3/N7/1NN4N/R7/1N2k3/N6R,e6d4 e6f4 
1N2R2N/1NN5/3N1N2/N7/7R/3k4/R2N3N/NNRK2N1,b7c5 
1N6/3N4/4N2N/8/7R/k2N4/4N2R/KRN1N3,e1c2 
N1NRNR2/1NN3NN/R7/N3k3/R7/1NN5/6N1/3NKN1N,a5c4 a5c6 
N2RNN2/8/R7/1N2k3/R7/1NN5/2N5/1N1NKR2,f8g6 f8d7 
3RKR2/3N4/8/N7/2N3N1/R4N2/4k3/7R,f3g1 f3d4 
3N3R/k7/5N1R/2N5/5N2/6N1/N7/KRN1NN2,d8c6 
3R1R2/N6R/4k3/5N1R/6N1/2N3N1/1N6/4K3,f5d4 f5g7 
NNNR4/1N6/8/1N5N/R7/NN1NkN2/N3N2R/4KRN1,a3c2 a3c4 
1N4N1/8/2N5/2N2NNN/3N3R/k2N4/7R/KR1N4,d4c2 d4b5 
2N2R2/7N/7R/4kNN1/R7/1N6/6N1/3RK3,g5f3 g5f7 
K2N4/3N3R/kN3N2/7R/5N2/8/4NN2/1RN4N,d7c5 d7b8 
NRKR4/2N5/8/1N4N1/4N3/7R/2k2N2/7R,b5a3 b5d4 
2NR1R2/1NN4N/R3N3/3Nk2N/7R/2N3NN/1N6/4K3,b2d3 b2c4 
KRNN4/2NNN3/2N1N3/2NN4/5N1R/k7/N6R/8,c7b5 
1N2RKN1/8/N1NN3N/7N/RN6/5k2/R7/2N3RN,c6d4 c6e5 
N6N/N5N1/2N5/R3N3/4k3/5N1R/2N3N1/N1NRKRN1,f3d2 f3g5 
1N1R1R2/RN6/1N2kN1N/R3N3/1NN4N/8/8/NN1NK1NN,b7c5 b7d8 
NRKR4/N4N1N/R6N/2k5/7R/N5NN/2N3NN/1N1N2N1,g3e4 
N1K4N/N7/2N4R/1Nk5/R5NN/N3N3/2N1N2N/NR1R4,a1b3 
3NN1NN/2N4R/1k2N1N1/1N4NR/3N2N1/6N1/8/RKR2NNN,c7d5 c7a8 
4KR2/2N5/4N3/N6R/4k3/R7/8/3R4,e6c5 e6g5 
5R2/3N4/8/7R/4k3/R7/8/N1NRK3,d7c5 d7f6 
K7/6N1/2NN4/5N1R/k3N3/7R/8/1R4N1,e4c3 e4c5 
1R4N1/8/8/N7/R7/2k5/R2N4/2KR4,d2b1 d2e4 
5R1N/N6R/4kN2/R7/8/N3N2N/7N/3RK3,h3f4 h3g5 
N3RKR1/8/7R/NN3k2/R7/3N4/8/N7,b5d4 b5d6 
1N1RKR2/8/8/2N5/8/R4N2/1N2k2N/R7,f3g1 f3d4 
1R2N3/8/N1N5/8/7R/k3N2N/6NR/K4NNN,e3c2 e3c4 
1N2RN1N/2N5/3NN3/2NN4/RN6/N4k2/RN6/2N2KR1,e6d4 e6g5 
2N1RK2/7R/5k1N/7R/7N/8/2N3N1/6R1,h6g4 h6g8 
3R1RN1/N3N2R/1N1NkN2/R7/7N/2N1N3/N2NN2N/N3K3,e2d4 e2f4 
R6N/1N3NkN/R7/6N1/4N3/N1N5/2NN4/NN2NRKR,g5e6 
N1N1N3/1N1N1N2/NN6/3N3R/N2k4/3N3R/8/N1RKR3,a1c2 a1b3 
2KR1N2/R7/1Nk3N1/2N4R/8/2N3N1/8/1R6,g6e5 g6e7 
NK2N2N/2NN1N2/8/3NN2N/5NNR/1kN5/7R/R1R1N1N1,d7c5 
NN4RK/RN6/4N2k/R7/2N2N2/N3N2N/2NN2N1/7N,e3g4 e3f5 
4R1R1/R4N2/4NkN1/2N4R/8/5N2/8/3NNK1N,c5e4 c5d7 
5R2/8/8/1NN1N3/R5N1/3N1NkN/R7/1N4KR,c5e4 
1R4N1/6N1/4NN2/2N5/7R/kNN2NN1/6NR/K7,c3b1 c3b5 
1N4K1/8/N3N3/R7/1N2N1k1/R7/8/N3NRNR,e4f2 e4f6 
5KR1/2N5/N4NNR/2N1Nk2/RN6/N2N3N/1N1N4/N3R3,g6h4 g6e7 
3N1R2/4N1N1/8/N2NN2R/1N1Nk3/7R/2N3N1/3RK1N1,d5c3 d5f6 
N2K1N1N/N5N1/8/3N1NN1/3N3R/2Nk4/R2N3N/N1R1RNN1,d5b4 d5f4 
4R1N1/1N4N1/3N3R/3k4/R2N3N/8/8/2RKN3,g8f6 g8e7 
4R3/R7/3k4/R2N4/6N1/1N6/3NN3/2RK1N2,d2c4 d2e4 
1N1RKN1N/2N5/2N3NN/R7/4k3/N6R/NNN5/N4RN1,a2c3 
2R1RN2/7R/N1Nk1N2/7R/8/8/2N4N/NN1K3N,f6e4 f6e8 
2R1RN2/7R/3k4/6NR/1N4N1/1N6/4N3/3K1N1N,g5e4 g5f7 
1NRNRN2/6N1/R1N5/2NkN1N1/7R/6N1/5N1N/2NK3N,c6b4 c6e7 
3RKR2/N5NN/N5N1/2N1N1N1/6N1/4N2R/1N2kN1N/N6R,g6f4 
4RKR1/3N4/N7/5N2/1N5N/3N4/7R/5k2,f5e3 f5g3 
1RK2N2/4N2N/R7/1NkN1N2/R6N/7N/4N3/1N1R1N2,f8e6 f8d7 
3NNNRK/3N4/2NN4/N1N5/6N1/5N2/R2N2N1/7k,g4f2 
1NRNR2N/8/3NN2R/N1Nk4/R6N/8/7N/3K2N1,e6f4 e6c7 
NN2RK2/2NN3N/7R/5kN1/5N1R/N1NN4/2NN4/NNN3R1,c2e3 c2d4 
4N3/8/R7/5k2/R7/N2N4/3N4/4RKR1,e8d6 e8g7 
3RKR2/N1N3N1/6N1/R7/1N2kN1N/3N3R/1NN3NN/2N1N3,d3f2 d3c5 
1R1R4/R6N/2k1N3/R7/7N/7N/6N1/2KN4,e6d4 e6d8 
3RK3/R7/1N2k3/4N2R/1N6/N7/1N2N2N/4NR2,e2d4 e2f4 
R2N4/4N3/3NN3/7N/7R/1k2N3/1N5R/1KR1N3,e6d4 e6c5 
3K1N1N/8/R2N4/3k4/R7/8/1N1NNN2/2R1R2N,e2c3 e2f4 
2N1N1RK/1N5N/N3N3/N2N4/2N2N1N/R2N4/NN5k/R7,h4f3 
2NRKR1N/1NN2N1N/4N3/4N3/8/6NN/N6R/1N1Nk2N,e5d3 e5f3 
5R2/RN6/1N1Nk3/4N2R/8/N7/N7/3RKN2,b7c5 b7d8 
NN6/7R/2Nk4/7R/N2N4/8/8/2RKR2N,d4b5 d4f5 
NN1NR2N/N2N4/R7/5kN1/NNN4R/8/5N1N/5KR1,c4e3 c4d6 
2R5/N5N1/R6N/N2k4/3N3R/5N2/N2N1N2/N1NKR1N1,a2c3 a2b4 
3R1R1N/7R/2N1k3/7R/7N/6N1/NN5N/4K2N,c6d4 c6d8 
N2NN2N/7N/2N5/5N1R/kN1N2NN/7R/3N4/KR2N3,a8b6 
3RN1NN/4N2R/3Nk3/R3N3/6NN/8/1N1N3N/1NN1KRN1,e8c7 e8g7 
2R1R1N1/1N4N1/5N2/N4NN1/R6N/3k4/7R/1N1K1NN1,b7c5 
N4N2/2N1N1NN/1NN3N1/R7/1N2kN2/4N2R/1NN3N1/3RKR2,h7g5 h7f6 
6KR/R7/4N1k1/R7/4N3/1N6/1NN2N2/NN3R1N,e6f4 e6f8 
7R/1k3N2/7R/3N4/8/5N2/8/RKR5,f7d6 f7d8 
6R1/N3N3/N7/2N5/R1N5/N4k2/R7/4RK2,c4d2 c4e5 
4KR1N/2N5/8/7R/1N2k3/7R/1NN5/1N1R4,b1d2 b1c3 
2R1R3/7R/3k4/R7/1N6/3N3N/1N6/N2K4,b2c4 
8/2N5/8/R6N/N5k1/R7/4N3/5RKR,h5f6 
2RK2N1/8/5N2/5N2/R7/3k4/6NR/4R3,g2e1 g2f4 
7N/R3N3/4k2N/7R/N7/8/7N/3RKR2,a4c5 
3N1K2/7R/5kNN/1N5R/N2N4/7N/N1N5/1NN1R1R1,h6g4 h6g8 
NN1N1N2/2N4N/8/N7/3N3R/3kN1N1/7R/1NRKR2N,h1f2 
1N4RN/8/R4N2/5k1N/R7/2N4N/1N1N4/N3RKN1,h5g3 h5g7 
2N2NN1/2N1N3/5NN1/3NN1N1/5N1R/1k3N2/7R/RKR3N1,f3d2 f3d4 
4NN1K/RN6/1N4Nk/R3N3/5N2/N2N4/6N1/6R1,e5g4 e5f7 
2RKN1N1/1N6/3N4/R6N/3k4/R7/1N3N2/4RN1N,d6b5 d6f5 
N1RKN1N1/1N1N3N/1N6/R7/N1Nk4/2N4R/NN6/1N2R3,c3e2 c3b5 
3R1R1N/2N5/N7/2N3N1/N6R/4k3/N6R/2N1K3,c7d5 
5N1N/2N2N2/3N3R/k2N1NN1/5N1R/2N5/8/KR1NN1N1,d6c4 d6b7 
KR6/7R/k1N5/7R/8/8/1N1N4/1N6,c6b4 c6b8 
5K2/2NN3N/7R/5k1N/7R/8/N2N1N2/4R1R1,h5g3 h5g7 
8/8/R7/4k3/R6N/2N5/2N5/3RKR1N,h4f3 h4g6 
NNNRKR1N/N5N1/7N/NN6/2N5/4N2N/R3N3/1N1Nk3,e3c2 e3g2 
3N1RKR/1N1N1N2/1NN2NN1/4N3/RN4N1/N2N2kN/R7/8,f6e4 f6h5 
2N1K3/7R/4k3/1N5R/7N/8/8/2NR1R1N,b5d4 b5c7 
N5k1/R7/2N1N3/4N3/NNNN4/1N1N1N2/1N1N1N2/5RKR,c6e7 
4RNN1/R7/3kN3/N2N3R/N4N2/7N/6NN/1NRKNNNN,a5c4 a5b7 
2N1N1RK/8/2N5/2N5/5N2/N3NN2/RN1N4/1N3NNk,f1g3 
KR6/5N1R/k1N2N1N/7R/2N5/5NNN/1N4NN/5N2,c6b4 c6b8 
NN1NR3/2N3N1/8/1NNN4/RN3N2/N1N1Nk2/N6R/2N2KR1,b5d4 
3R4/5N2/R1N4N/2k4N/R7/2N4N/8/1RK3N1,c3a4 c3e4 
1NNR1R1N/R3N2N/4k3/R7/6N1/4N3/N2N4/4KN2,h7g5 h7f8 
1NKN3N/3N1N2/N7/N7/3N2NR/2k2N1N/R7/NR1RN2N,d4e2 d4b5 
6N1/1N1N4/N4N1N/RN6/N4k2/N6R/2N4N/NN1NRKR1,f6d5 f6h5 
N4NK1/1N2N3/N3N3/R6N/NN4kN/R7/8/2N2R1R,h5f6 
1N5R/2k5/R7/4N3/8/8/8/1RKR3N,b8a6 
N1N2NR1/R7/6Nk/R7/N1N5/2N1N2N/2N5/7K,e3g4 e3f5 
2kN4/R5N1/N3N2N/6N1/4N3/6N1/2NN1N1N/1RKR4,e4d6 
R4N2/1Nk5/R7/8/8/8/2N5/1RKR4,f8e6 
6R1/2N5/N4N2/8/R7/7k/R3N3/7K,e2g1 e2f4 
R3N3/1N2kN1N/R3N2N/1NN5/8/8/1N2N3/NNNRKR1N,h6f5 h6g8 
2N4N/R3N3/4kN2/R3NN2/2N3N1/4N3/N2N1N2/1NNRKR2,f5d4 f5g7 
3KR3/5N2/7R/3k3N/R7/8/3N4/2R3N1,h5f4 h5f6 
3N2KR/5N2/2N1N3/3NN3/R7/1N2N1k1/RNN5/1N2NR2,e3f1 e3f5 
3KR3/3NN1NN/7N/1N6/7R/3k2N1/7R/1NR2NN1,d7c5 d7e5 
1RKRN3/2N4N/6N1/6N1/N7/7R/1Nk2N1N/5N1R,f1e3 
3NRKR1/R5N1/5k2/7R/2N5/5N2/1N4N1/8,g7h5 g7e8 
2N1KR2/1N1N1N1N/3N2N1/7N/R7/4kN2/R7/3R2NN,d6c4 d6f5 
2N1R3/1NN3N1/1NN2N2/2NN3N/1N5R/5k2/R7/5KR1,c6d4 c6e5 
2RKR3/7R/3k4/R5N1/8/3N4/8/N6N,g5e4 g5f7 
k2N4/4N1NR/N1N2N1N/8/6N1/1N2NNN1/2N5/KR4N1,a6c7 
N2NNN2/8/8/8/RN4NN/2k5/R7/1RKR4,b4a2 b4d5 
2NRKRN1/6NN/7R/1N1NkN1N/7R/2N5/2N2NN1/3N1N2,f2d3 f2g4 
6RK/1NN4N/2N1NN2/RN6/N6k/R7/N1N5/N3NN1N,e1g2 e1f3 
N1R5/8/8/7R/3k4/R7/8/1N1KR1N1,g1e2 g1f3 
3K1N1N/N5N1/3N3R/3k2N1/R6N/1N1N2N1/7N/2R1R1N1,d3b4 d3f4 
4K3/R4N2/4k3/7R/8/2N1N3/7N/1N1R1R2,f7g5 f7d8 
RK4NN/3NN2N/N6R/1k6/1N5R/3N3N/6NN/N1R4N,a6c7 
R1RNN3/5N1N/1N6/3N3N/5NNR/1k5N/7R/1K1N1N2,f1d2 
1N1RKR2/R4N2/1N1Nk3/R7/8/N5N1/7N/1N1N3N,f7g5 f7d8 
NRKR1N2/8/8/N7/8/R4NN1/2k5/R7,f3e1 f3d4 
2NNRKR1/3N1N2/NN6/2N3N1/7N/3N1N1N/5N1R/2N2k2,f3d2 f3h2 
2k5/R7/6N1/6N1/8/8/6N1/1RKR4,g6e7 
N6R/k5N1/4N1NR/2N3N1/2NN3N/3N1NNN/3N4/KRN5,d4b5 d4c6 
N3NkN1/N6R/N1NN3N/7N/7N/N7/1NN3N1/3NRKR1,h4g6 
2N3NN/2N5/R7/2k5/R7/8/N7/1RKR1N2,c7a6 c7e6 
N1N1RKR1/N4N2/2N2N2/NN2N3/8/1NNN4/7R/N4k2,b3d2 
4R3/8/1N2N2R/N4k2/R7/8/7N/5KR1,e6d4 e6g7 
K1N5/2N5/8/8/7R/k2N4/7R/1R6,c7b5 
1RK4N/5N2/8/8/7R/2k5/2N4R/N2R2N1,g1e2 
3K4/N2N4/3N3R/N2k4/R7/1N3N2/5N2/2R1R3,d7b6 d7f6 
2KR1N2/4N1N1/7N/7R/2k5/1NN3NR/N3N3/NR2N3,b3d2 b3a5 
R5NN/N3N1k1/R1N5/4N3/N5N1/1NN2N2/4NN2/2N1NRKR,e7f5 
1N1R1R1N/R3N3/4kN1N/R7/2N3N1/4N3/6N1/N2NK3,g2f4 
1R6/N4N2/R7/2k4N/3N3R/N3N3/N3N1NN/1NKR1NN1,d4b3 d4e6 
3KR3/1N3N1N/6N1/N2N3R/3k4/R7/NN3NN1/1NRN1N2,a5b3 a5c6 
2N2K2/N2N3N/7N/N4N1R/5k2/N6R/1NN5/1N2RNRN,b2d3 
3N2NN/7N/N2N1N2/5N2/R1NN3N/1N4Nk/R6N/4N1RK,h7g5 
8/5N1N/8/8/7R/kN3N2/4N2R/KR1NN3,e1c2 
KR6/7R/kN3N2/3N3R/2N3N1/8/8/1N1N2N1,d5b4 d5c7 
RKR5/2N1N3/1N4N1/1N6/3N3N/7R/1k6/7R,b6a4 b6c4 
KN6/5N2/8/8/7R/k1N5/N6R/1RN5,c3b1 c3b5 
2N5/8/8/4N3/7R/2k3N1/R7/1RKR4,g3e2 g3e4 
N1RKN2N/5N2/NN3N2/7R/N1Nk4/7R/N4N1N/3NR2N,h2f3 
2R1R1N1/7R/N2k1N2/7R/8/1N6/4N2N/2NK1N2,f6e4 f6e8 
